Subject,Platform Name,Primary URL,API Documentation URL,Category,Automation Scope,Quality Score,Error
OpenAI GPT-4 and advanced AI models platform,OpenAI Platform,https://platform.openai.com/,https://platform.openai.com/docs/api-reference/introduction,AI Models,"Software Development, Content Creation, Data Analysis, Customer Service, Education, Workflow Automation",98,
Google DeepMind artificial intelligence research,Gemini API,https://ai.google.dev/,https://ai.google.dev/gemini-api/docs,AI Models,"Software Development, Research, Workflow Automation, Data Analysis, Agentic Systems",98,
Anthropic Claude AI safety and research,Anthropic Research,https://www.anthropic.com/research,https://platform.claude.com/docs/en/api/overview,AI Models,"AI safety, Alignment, Interpretability, Societal Impacts, Frontier Red Team, Research",98,
Microsoft Azure AI and cognitive services,Microsoft Foundry,https://ai.azure.com/,https://learn.microsoft.com/en-us/rest/api/aifoundry/,MLOps,"Enterprise AI operations, model builders, application development, business process automation, AI agent orchestration",98,
Amazon Web Services AI and machine learning services,Amazon Web Services (AWS) AI and Machine Learning,https://aws.amazon.com/machine-learning/,https://docs.aws.amazon.com/bedrock/latest/APIReference/welcome.html,"MLOps, Infrastructure","Machine Learning, Deep Learning, Generative AI, Computer Vision, Natural Language Processing, Predictive Analytics, MLOps, Infrastructure Management",98,
IBM Watson AI and enterprise automation,IBM watsonx,https://www.ibm.com/products/watsonx,https://www.ibm.com/watsonx/developer/,Workflow Automation,"Enterprise Workflows, Generative AI, Developer Productivity, Data Management, AI Governance",92,
Salesforce Einstein AI for CRM automation,Salesforce Einstein AI,https://www.salesforce.com/artificial-intelligence/,https://developer.salesforce.com/docs/einstein/genai/overview,Workflow Automation,"Customer Relationship Management (CRM), Sales, Service, Marketing, Commerce, Business Process Automation",95,
UiPath robotic process automation platform,UiPath,https://www.uipath.com/,https://docs.uipath.com/automation-cloud/automation-cloud/latest/api-guide/about-this-guide,RPA,"Banking and Financial Services, Healthcare, Insurance, Public sector, Manufacturing, Contact Center, Finance and Accounting, Supply chain",95,
Automation Anywhere intelligent automation,Automation Anywhere,https://www.automationanywhere.com/,https://docs.automationanywhere.com/bundle/enterprise-v2019/page/enterprise-cloud/topics/control-room/control-room-api/cloud-control-room-apis.html,RPA,"Enterprise Automation, Business Process Automation, Robotic Process Automation",92,
Blue Prism enterprise RPA solutions,SS&C Blue Prism Enterprise,https://www.blueprism.com/,https://docs.blueprism.com/en-US/,RPA,"Financial services, Banking, Insurance, Healthcare, Manufacturing, Government, Public sector, Energy, Utilities, Retail, Telecoms, IT Automation, Business Process Management, Intelligent Document Processing",95,
